placename,latitude,longitude
Arabia,25.0,45.0
Saihut,15.21056,51.24556
Himyars,36.832879,-83.798747
Aden,12.77944,45.03667
Bombay,18.9690472,72.8211807
South Kensington,39.012096,-77.069587
Egypt,26.512273493,29.87049486
India,23.379379735,79.443326548
Yafei,21.6288451,39.194622
Al Kaiti,-1.773734481059,37.437742262712
Haura,22.57688,88.31857
Hadhrami,13.93333,45.36667
Sheher,22.9465445,73.6247501
England,52.594120680788,-1.464804210663
Makalla,14.94862,39.69658
Kew Gardens,40.709348,-73.829686
Southern Arabia,4.5332631,-74.1479655
Muofok-el-Briti,-7.6336,112.5093
Bariki,-1.2454199,25.7303935
Shabwa,15.0,47.0
Tamimi,-5.37664,105.28003
Mecca,21.4249467,39.8219955
Medina,24.4676039,39.6054404
Jehannam,34.07399,-4.54977
Basra,30.5192335,47.760954
Tokhum,50.84777,4.38216
Wadi Ghafit,16.01667,49.45
Howeri,38.980004,21.365748
Tahiya,-4.0238,134.29078
Wadi Howeri,20.03333,34.21667
Akaba,2.4908853,31.1474254
Mahri,24.90126,84.7018342
Africa,7.1881,21.09375
Wadi,11.5841162,2.368364
Wadi Adim,12.89194,44.23121
Southern Arabian,-37.8612838,145.1926057
Mareb,18.8624628,-99.2408558
Nile,30.16196,31.14946
Wadi Al Aisa,30.88514,34.36507
Khoreba,40.99594,22.72637
Khaila,28.860488,77.361282
Sief,46.4973518,11.9378333
Lazenby,54.569736764,-1.11625453
Basha,22.23353,82.286414
Wadi Kasr,29.85,37.73333
Kaidoun,33.7791745,35.5557046
Germany,51.110631049,10.392277932
Italy,42.83333,12.83333
Greece,39.0,22.0
Abyssinia,39.954187,-75.211702
Meshed,36.29807,59.60567
Wadi Doan,-6.6978,107.0357
Sabaean Empire,44.695582,-93.075373
Nahadi,18.434827,81.334752
Koton,49.857034435,19.876199108
Ghanima,-27.347618,-65.5907375
Ajlania,20.860269,84.263988
Henan,58.238067,11.6760404
Hadhramout,16.0,49.0
Ainan,-9.487019,124.422838
Ferhud,48.870882,2.317048
Arabian Nights,28.41922,-81.46526
Daghestan,36.3268,59.4127
Sultan,47.8673829,-121.8098714
Cape of Good Hope,-34.33518,18.45808
Siwoun,28.7475,79.3229
Kattiri,12.449101,76.599088
Nubia,37.9804437,12.5158009
Al Agran,22.518964,74.225224
Zubda,23.96667,50.23333
Wadi Ser,15.90444,48.56806
Hanya,35.51124,24.02921
Iselem,36.361374,-119.833511
Europe,48.69096,9.14062
Bahr-Safi,36.1624088,-5.3526235
King Safi,32.3098775,-9.2326253
Vienna,48.2092062,16.3727778
Kabr Saleh,23.2154762,82.2024931
Makrisi,37.411501,22.165765
Mashonaland,-17.985983398761,31.694607704889
Asia Minor,39.0,35.0
Wadi Hadhramout,52.46974,-1.858277
Kafirs,34.95401,33.31266
Iceland,64.986956859,-18.582382346
Ptolemy,34.5,24.583333
Middle Ages,47.97321,8.93593
Barahout,36.45414,1.77173
Kubar al Moluk,38.91825,47.13842
Al Koton,24.4707209,54.3736455
Wadi Al Ain,15.91667,48.56667
Zimbabwe,-19.016205471,29.884276749
Hindustani,40.341168,-3.536945
Shaba,-12.6732866,33.4841161
Sabota,31.25126,77.12128
Arabian Peninsula',25.0,45.0
Batavia,41.8522225,-88.3122678
Haibel Gabrein,,
Salem,11.6521225,78.1579771
Wadi Manwab,15.72861,48.39278
